"h24_30vD and h24_45vD","h8_45vD and h24_45vD","h8_30vD and h24_45vD","h24_45vD and h24_30vD","h8_45vD and h24_30vD","h8_30vD and h24_30vD","h24_45vD and h8_45vD","h24_30vD and h8_45vD","h8_30vD and h8_45vD","h24_45vD and h8_30vD","h24_30vD and h8_30vD","h8_45vD and h8_30vD","h24_45vD","h24_30vD and not h24_45vD","h8_45vD and not h24_45vD","h8_30vD and not h24_45vD","h24_45vD and not h24_30vD","h24_30vD","h8_45vD and not h24_30vD","h8_30vD and not h24_30vD","h24_45vD and not h8_45vD","h24_30vD and not h8_45vD","h8_45vD","h8_30vD and not h8_45vD","h24_45vD and not h8_30vD","h24_30vD and not h8_30vD","h8_45vD and not h8_30vD","h8_30vD"
"1097","MBNL1","MLEC","","MDH1","","MTA1","","","","","","","","","","","","","","","","","","","","","",""
"1098","MCM10","MLLT3","","MDM4","","MTIF2","","","","","","","","","","","","","","","","","","","","","",""
"1099","MCM4","MMACHC","","ME1","","MTMR14","","","","","","","","","","","","","","","","","","","","","",""
"1100","MCM6","MOB3B","","ME2","","MTRNR2L1","","","","","","","","","","","","","","","","","","","","","",""
"1101","MDC1","MOCOS","","MED1","","MTRNR2L2","","","","","","","","","","","","","","","","","","","","","",""
"1102","MDFI","MORC4","","MED10","","MTRNR2L8","","","","","","","","","","","","","","","","","","","","","",""
"1103","MDH1","MORF4L1","","MED4","","MTX3","","","","","","","","","","","","","","","","","","","","","",""
"1104","MDM4","MORF4L2","","MED8","","MUS81","","","","","","","","","","","","","","","","","","","","","",""
"1105","ME1","MORN4","","MEF2A","","MUTYH","","","","","","","","","","","","","","","","","","","","","",""
"1106","ME2","MOV10L1","","MEIS1","","MVD","","","","","","","","","","","","","","","","","","","","","",""
"1107","MED1","MPHOSPH10","","MESDC2","","MVK","","","","","","","","","","","","","","","","","","","","","",""
"1108","MED10","MPP2","","METAP2","","MXD1","","","","","","","","","","","","","","","","","","","","","",""
"1109","MED4","MPP5","","METTL14","","MXD3","","","","","","","","","","","","","","","","","","","","","",""
"1110","MED8","MPST","","METTL21A","","MXD4","","","","","","","","","","","","","","","","","","","","","",""
"1111","MEF2A","MRI1","","METTL5","","MXI1","","","","","","","","","","","","","","","","","","","","","",""
"1112","MEIS1","MRPL13","","METTL6","","MYCBP","","","","","","","","","","","","","","","","","","","","","",""
"1113","MESDC2","MRPL16","","METTL7A","","MYCL1","","","","","","","","","","","","","","","","","","","","","",""
"1114","METAP2","MRPL20","","METTL8","","MYH10","","","","","","","","","","","","","","","","","","","","","",""
"1115","METTL14","MRPL27","","MFAP1","","MYL6","","","","","","","","","","","","","","","","","","","","","",""
"1116","METTL21A","MRPL44","","MFSD1","","MYO1D","","","","","","","","","","","","","","","","","","","","","",""
"1117","METTL5","MRPL49","","MFSD11","","MZT1","","","","","","","","","","","","","","","","","","","","","",""
"1118","METTL6","MRPL50","","MFSD5","","NAA40","","","","","","","","","","","","","","","","","","","","","",""
"1119","METTL7A","MRPS14","","MGAT2","","NADKD1","","","","","","","","","","","","","","","","","","","","","",""
"1120","METTL8","MSC","","MGAT3","","NAMPT","","","","","","","","","","","","","","","","","","","","","",""
"1121","MFAP1","MSH2","","MGAT5B","","NAPEPLD","","","","","","","","","","","","","","","","","","","","","",""
"1122","MFSD1","MSH6","","MGLL","","NARF","","","","","","","","","","","","","","","","","","","","","",""
"1123","MFSD11","MSMO1","","MGST1","","NASP","","","","","","","","","","","","","","","","","","","","","",""
"1124","MFSD5","MTA1","","MGST2","","NAT1","","","","","","","","","","","","","","","","","","","","","",""
"1125","MGAT2","MTHFD1L","","MIB2","","NCAPD2","","","","","","","","","","","","","","","","","","","","","",""
"1126","MGAT3","MTIF2","","MICAL2","","NCAPD3","","","","","","","","","","","","","","","","","","","","","",""
"1127","MGAT5B","MTMR14","","MICALL1","","NCAPG","","","","","","","","","","","","","","","","","","","","","",""
"1128","MGLL","MTRNR2L1","","MID1","","NCAPG2","","","","","","","","","","","","","","","","","","","","","",""
"1129","MGST1","MTRNR2L2","","MID1IP1","","NCAPH","","","","","","","","","","","","","","","","","","","","","",""
"1130","MGST2","MTRNR2L8","","MID2","","NCF2","","","","","","","","","","","","","","","","","","","","","",""
"1131","MIB2","MTX3","","MIIP","","NCKAP1","","","","","","","","","","","","","","","","","","","","","",""
"1132","MICAL2","MUS81","","MINA","","NCOA4","","","","","","","","","","","","","","","","","","","","","",""
"1133","MICALL1","MUTYH","","MIS18BP1","","NCOR2","","","","","","","","","","","","","","","","","","","","","",""
"1134","MID1","MVD","","MKI67","","NDC80","","","","","","","","","","","","","","","","","","","","","",""
"1135","MID1IP1","MVK","","MKL1","","NDE1","","","","","","","","","","","","","","","","","","","","","",""
"1136","MID2","MXD1","","MKNK2","","NDP","","","","","","","","","","","","","","","","","","","","","",""
"1137","MIIP","MXD3","","MKX","","NDRG2","","","","","","","","","","","","","","","","","","","","","",""
"1138","MINA","MXD4","","MLEC","","NDRG3","","","","","","","","","","","","","","","","","","","","","",""
"1139","MIS18BP1","MXI1","","MLLT3","","NDRG4","","","","","","","","","","","","","","","","","","","","","",""
"1140","MKI67","MYC","","MMACHC","","NDST1","","","","","","","","","","","","","","","","","","","","","",""
"1141","MKL1","MYCBP","","MOB3B","","NDUFA4L2","","","","","","","","","","","","","","","","","","","","","",""
"1142","MKNK2","MYCL1","","MOCOS","","NDUFA5","","","","","","","","","","","","","","","","","","","","","",""
"1143","MKX","MYH10","","MORC4","","NDUFA8","","","","","","","","","","","","","","","","","","","","","",""
"1144","MLEC","MYL6","","MORF4L1","","NDUFB3","","","","","","","","","","","","","","","","","","","","","",""
"1145","MLLT3","MYO1D","","MORF4L2","","NDUFB4","","","","","","","","","","","","","","","","","","","","","",""
"1146","MMACHC","MZT1","","MORN4","","NDUFB6","","","","","","","","","","","","","","","","","","","","","",""
"1147","MOB3B","NAA40","","MOV10L1","","NDUFS5","","","","","","","","","","","","","","","","","","","","","",""
"1148","MOCOS","NADKD1","","MPHOSPH10","","NDUFV2","","","","","","","","","","","","","","","","","","","","","",""
"1149","MORC4","NAMPT","","MPP2","","NEDD4","","","","","","","","","","","","","","","","","","","","","",""
"1150","MORF4L1","NAPEPLD","","MPP5","","NEK2","","","","","","","","","","","","","","","","","","","","","",""
"1151","MORF4L2","NARF","","MPST","","NES","","","","","","","","","","","","","","","","","","","","","",""
"1152","MORN4","NASP","","MRI1","","NFE2L1","","","","","","","","","","","","","","","","","","","","","",""
"1153","MOV10L1","NAT1","","MRPL13","","NFE2L3","","","","","","","","","","","","","","","","","","","","","",""
"1154","MPHOSPH10","NCAPD2","","MRPL16","","NFIA","","","","","","","","","","","","","","","","","","","","","",""
"1155","MPP2","NCAPD3","","MRPL20","","NFIB","","","","","","","","","","","","","","","","","","","","","",""
"1156","MPP5","NCAPG","","MRPL27","","NFIL3","","","","","","","","","","","","","","","","","","","","","",""
"1157","MPST","NCAPG2","","MRPL44","","NFIX","","","","","","","","","","","","","","","","","","","","","",""
"1158","MRI1","NCAPH","","MRPL49","","NFKB2","","","","","","","","","","","","","","","","","","","","","",""
"1159","MRPL13","NCF2","","MRPL50","","NFKBIB","","","","","","","","","","","","","","","","","","","","","",""
"1160","MRPL16","NCKAP1","","MRPS14","","NFX1","","","","","","","","","","","","","","","","","","","","","",""
"1161","MRPL20","NCOA4","","MSC","","NGEF","","","","","","","","","","","","","","","","","","","","","",""
"1162","MRPL27","NCOR2","","MSH2","","NGFR","","","","","","","","","","","","","","","","","","","","","",""
"1163","MRPL44","NDC80","","MSH6","","NGLY1","","","","","","","","","","","","","","","","","","","","","",""
"1164","MRPL49","NDE1","","MSMO1","","NGRN","","","","","","","","","","","","","","","","","","","","","",""
"1165","MRPL50","NDP","","MTA1","","NINJ1","","","","","","","","","","","","","","","","","","","","","",""
"1166","MRPS14","NDRG2","","MTHFD1L","","NIPAL4","","","","","","","","","","","","","","","","","","","","","",""
"1167","MSC","NDRG3","","MTHFD2","","NKRF","","","","","","","","","","","","","","","","","","","","","",""
"1168","MSH2","NDRG4","","MTIF2","","NMT1","","","","","","","","","","","","","","","","","","","","","",""
"1169","MSH6","NDST1","","MTMR14","","NOB1","","","","","","","","","","","","","","","","","","","","","",""
"1170","MSMO1","NDUFA4L2","","MTRNR2L1","","NOL3","","","","","","","","","","","","","","","","","","","","","",""
"1171","MTA1","NDUFA5","","MTRNR2L2","","NOMO1","","","","","","","","","","","","","","","","","","","","","",""
"1172","MTHFD1L","NDUFA8","","MTRNR2L8","","NONO","","","","","","","","","","","","","","","","","","","","","",""
"1173","MTHFD2","NDUFB3","","MTX3","","NPAS2","","","","","","","","","","","","","","","","","","","","","",""
"1174","MTIF2","NDUFB4","","MUS81","","NPAS3","","","","","","","","","","","","","","","","","","","","","",""
"1175","MTMR14","NDUFB6","","MUTYH","","NPDC1","","","","","","","","","","","","","","","","","","","","","",""
"1176","MTRNR2L1","NDUFS5","","MVD","","NPIP","","","","","","","","","","","","","","","","","","","","","",""
"1177","MTRNR2L2","NDUFV2","","MVK","","NPR3","","","","","","","","","","","","","","","","","","","","","",""
"1178","MTRNR2L8","NEDD4","","MXD1","","NPTN","","","","","","","","","","","","","","","","","","","","","",""
"1179","MTX3","NEK2","","MXD3","","NQO1","","","","","","","","","","","","","","","","","","","","","",""
"1180","MUS81","NES","","MXD4","","NR1D2","","","","","","","","","","","","","","","","","","","","","",""
"1181","MUTYH","NFE2L1","","MXI1","","NR1H2","","","","","","","","","","","","","","","","","","","","","",""
"1182","MVD","NFE2L3","","MYC","","NR2C2AP","","","","","","","","","","","","","","","","","","","","","",""
"1183","MVK","NFIA","","MYCBP","","NR2F1","","","","","","","","","","","","","","","","","","","","","",""
"1184","MXD1","NFIB","","MYCL1","","NR2F6","","","","","","","","","","","","","","","","","","","","","",""
"1185","MXD3","NFIL3","","MYH10","","NRBF2","","","","","","","","","","","","","","","","","","","","","",""
"1186","MXD4","NFIX","","MYL6","","NREP","","","","","","","","","","","","","","","","","","","","","",""
"1187","MXI1","NFKB2","","MYO1D","","NRGN","","","","","","","","","","","","","","","","","","","","","",""
"1188","MYC","NFKBIB","","MZT1","","NSA2","","","","","","","","","","","","","","","","","","","","","",""
"1189","MYCBP","NFKBIL1","","NAA40","","NSDHL","","","","","","","","","","","","","","","","","","","","","",""
"1190","MYCL1","NFX1","","NADKD1","","NSL1","","","","","","","","","","","","","","","","","","","","","",""
"1191","MYH10","NGEF","","NAMPT","","NSMAF","","","","","","","","","","","","","","","","","","","","","",""
"1192","MYL6","NGFR","","NAPEPLD","","NSMCE1","","","","","","","","","","","","","","","","","","","","","",""
"1193","MYO1D","NGLY1","","NARF","","NSUN4","","","","","","","","","","","","","","","","","","","","","",""
"1194","MZT1","NGRN","","NARS","","NTNG1","","","","","","","","","","","","","","","","","","","","","",""
"1195","NAA40","NINJ1","","NASP","","NTRK2","","","","","","","","","","","","","","","","","","","","","",""
"1196","NADKD1","NIPAL4","","NAT1","","NUCKS1","","","","","","","","","","","","","","","","","","","","","",""
"1197","NAMPT","NKRF","","NCAPD2","","NUDT16L1","","","","","","","","","","","","","","","","","","","","","",""
"1198","NAPEPLD","NMT1","","NCAPD3","","NUDT21","","","","","","","","","","","","","","","","","","","","","",""
"1199","NARF","NOB1","","NCAPG","","NUDT4","","","","","","","","","","","","","","","","","","","","","",""
"1200","NARS","NOL3","","NCAPG2","","NUF2","","","","","","","","","","","","","","","","","","","","","",""
"1201","NASP","NOMO1","","NCAPH","","NUMA1","","","","","","","","","","","","","","","","","","","","","",""
"1202","NAT1","NONO","","NCF2","","NUP133","","","","","","","","","","","","","","","","","","","","","",""
"1203","NCAPD2","NPAS2","","NCKAP1","","NUP85","","","","","","","","","","","","","","","","","","","","","",""
"1204","NCAPD3","NPAS3","","NCOA4","","NUP98","","","","","","","","","","","","","","","","","","","","","",""
"1205","NCAPG","NPDC1","","NCOR2","","NUSAP1","","","","","","","","","","","","","","","","","","","","","",""
"1206","NCAPG2","NPIP","","NDC80","","NXPH4","","","","","","","","","","","","","","","","","","","","","",""
"1207","NCAPH","NPR3","","NDE1","","NYNRIN","","","","","","","","","","","","","","","","","","","","","",""
"1208","NCF2","NPTN","","NDP","","OAF","","","","","","","","","","","","","","","","","","","","","",""
"1209","NCKAP1","NR1D1","","NDRG2","","OAT","","","","","","","","","","","","","","","","","","","","","",""
"1210","NCOA4","NR1D2","","NDRG3","","OAZ2","","","","","","","","","","","","","","","","","","","","","",""
"1211","NCOR2","NR1H2","","NDRG4","","OBSCN","","","","","","","","","","","","","","","","","","","","","",""
"1212","NDC80","NR2C2AP","","NDST1","","OCLN","","","","","","","","","","","","","","","","","","","","","",""
"1213","NDE1","NR2F1","","NDUFA4L2","","OCRL","","","","","","","","","","","","","","","","","","","","","",""
"1214","NDP","NR2F6","","NDUFA5","","ODZ3","","","","","","","","","","","","","","","","","","","","","",""
"1215","NDRG2","NRBF2","","NDUFA8","","OGFRL1","","","","","","","","","","","","","","","","","","","","","",""
"1216","NDRG3","NREP","","NDUFB3","","OGT","","","","","","","","","","","","","","","","","","","","","",""
"1217","NDRG4","NRGN","","NDUFB4","","OIP5","","","","","","","","","","","","","","","","","","","","","",""
"1218","NDST1","NSA2","","NDUFB6","","OLFML2A","","","","","","","","","","","","","","","","","","","","","",""
"1219","NDUFA4L2","NSDHL","","NDUFS5","","OPTN","","","","","","","","","","","","","","","","","","","","","",""
"1220","NDUFA5","NSL1","","NDUFV2","","ORAI2","","","","","","","","","","","","","","","","","","","","","",""
"1221","NDUFA8","NSMAF","","NEDD4","","ORAOV1","","","","","","","","","","","","","","","","","","","","","",""
"1222","NDUFB3","NSMCE1","","NEK2","","ORC1","","","","","","","","","","","","","","","","","","","","","",""
"1223","NDUFB4","NSUN4","","NES","","OSBPL6","","","","","","","","","","","","","","","","","","","","","",""
"1224","NDUFB6","NTNG1","","NFE2L1","","OSGIN1","","","","","","","","","","","","","","","","","","","","","",""
"1225","NDUFS5","NTRK2","","NFE2L3","","OSMR","","","","","","","","","","","","","","","","","","","","","",""
"1226","NDUFV2","NUCKS1","","NFIA","","P2RX4","","","","","","","","","","","","","","","","","","","","","",""
"1227","NEDD4","NUDT16L1","","NFIB","","P4HA2","","","","","","","","","","","","","","","","","","","","","",""
"1228","NEK2","NUDT21","","NFIL3","","PABPC1","","","","","","","","","","","","","","","","","","","","","",""
"1229","NES","NUDT4","","NFIX","","PABPC1L","","","","","","","","","","","","","","","","","","","","","",""
"1230","NFE2L1","NUF2","","NFKB2","","PABPC4L","","","","","","","","","","","","","","","","","","","","","",""
"1231","NFE2L3","NUMA1","","NFKBIB","","PACS2","","","","","","","","","","","","","","","","","","","","","",""
"1232","NFIA","NUP133","","NFKBIL1","","PACSIN2","","","","","","","","","","","","","","","","","","","","","",""
"1233","NFIB","NUP85","","NFX1","","PAF1","","","","","","","","","","","","","","","","","","","","","",""
"1234","NFIL3","NUP98","","NGEF","","PAK4","","","","","","","","","","","","","","","","","","","","","",""
"1235","NFIX","NUSAP1","","NGFR","","PALLD","","","","","","","","","","","","","","","","","","","","","",""
"1236","NFKB2","NXPH4","","NGLY1","","PANX2","","","","","","","","","","","","","","","","","","","","","",""
"1237","NFKBIB","NYNRIN","","NGRN","","PAPPA","","","","","","","","","","","","","","","","","","","","","",""
"1238","NFKBIL1","OAF","","NINJ1","","PAPSS1","","","","","","","","","","","","","","","","","","","","","",""
"1239","NFX1","OAT","","NIPAL4","","PAQR5","","","","","","","","","","","","","","","","","","","","","",""
"1240","NGEF","OAZ2","","NKRF","","PARD3","","","","","","","","","","","","","","","","","","","","","",""
"1241","NGFR","OBSCN","","NMT1","","PARM1","","","","","","","","","","","","","","","","","","","","","",""
"1242","NGLY1","OCLN","","NOB1","","PARP1","","","","","","","","","","","","","","","","","","","","","",""
"1243","NGRN","OCRL","","NOL3","","PARP12","","","","","","","","","","","","","","","","","","","","","",""
"1244","NINJ1","ODZ3","","NOMO1","","PARP6","","","","","","","","","","","","","","","","","","","","","",""
"1245","NIPAL4","OGFRL1","","NONO","","PARPBP","","","","","","","","","","","","","","","","","","","","","",""
"1246","NKRF","OGT","","NPAS2","","PASK","","","","","","","","","","","","","","","","","","","","","",""
"1247","NMT1","OIP5","","NPAS3","","PAWR","","","","","","","","","","","","","","","","","","","","","",""
"1248","NOB1","OLFML2A","","NPDC1","","PBK","","","","","","","","","","","","","","","","","","","","","",""
"1249","NOL3","OPTN","","NPIP","","PBX1","","","","","","","","","","","","","","","","","","","","","",""
"1250","NOMO1","ORAI2","","NPR3","","PCBP1","","","","","","","","","","","","","","","","","","","","","",""
"1251","NONO","ORAOV1","","NPTN","","PCBP2","","","","","","","","","","","","","","","","","","","","","",""
"1252","NPAS2","ORC1","","NQO1","","PCDH1","","","","","","","","","","","","","","","","","","","","","",""
"1253","NPAS3","OSBPL6","","NR1D1","","PCDH17","","","","","","","","","","","","","","","","","","","","","",""
"1254","NPDC1","OSMR","","NR1D2","","PCDH18","","","","","","","","","","","","","","","","","","","","","",""
"1255","NPIP","P2RX4","","NR1H2","","PCDH7","","","","","","","","","","","","","","","","","","","","","",""
"1256","NPR3","P4HA2","","NR2C2AP","","PCGF5","","","","","","","","","","","","","","","","","","","","","",""
"1257","NPTN","PABPC1","","NR2F1","","PCLO","","","","","","","","","","","","","","","","","","","","","",""
"1258","NQO1","PABPC1L","","NR2F6","","PCTP","","","","","","","","","","","","","","","","","","","","","",""
"1259","NR1D1","PABPC4L","","NRBF2","","PCYOX1","","","","","","","","","","","","","","","","","","","","","",""
"1260","NR1D2","PACS2","","NREP","","PDE2A","","","","","","","","","","","","","","","","","","","","","",""
"1261","NR1H2","PACSIN2","","NRGN","","PDHB","","","","","","","","","","","","","","","","","","","","","",""
"1262","NR2C2AP","PAF1","","NSA2","","PDIA4","","","","","","","","","","","","","","","","","","","","","",""
"1263","NR2F1","PAK4","","NSDHL","","PDK2","","","","","","","","","","","","","","","","","","","","","",""
"1264","NR2F6","PALLD","","NSL1","","PDLIM7","","","","","","","","","","","","","","","","","","","","","",""
"1265","NRBF2","PANX2","","NSMAF","","PDS5B","","","","","","","","","","","","","","","","","","","","","",""
"1266","NREP","PAPPA","","NSMCE1","","PDXDC1","","","","","","","","","","","","","","","","","","","","","",""
"1267","NRGN","PAPSS1","","NSUN4","","PEA15","","","","","","","","","","","","","","","","","","","","","",""
"1268","NSA2","PARD3","","NTNG1","","PEBP1","","","","","","","","","","","","","","","","","","","","","",""
"1269","NSDHL","PARM1","","NTRK2","","PEX26","","","","","","","","","","","","","","","","","","","","","",""
"1270","NSL1","PARP1","","NUCKS1","","PFDN2","","","","","","","","","","","","","","","","","","","","","",""
"1271","NSMAF","PARP12","","NUDT16L1","","PGAM1","","","","","","","","","","","","","","","","","","","","","",""
"1272","NSMCE1","PARP6","","NUDT21","","PGK1","","","","","","","","","","","","","","","","","","","","","",""
"1273","NSUN4","PARPBP","","NUDT4","","PGLS","","","","","","","","","","","","","","","","","","","","","",""
"1274","NTNG1","PASK","","NUF2","","PGM1","","","","","","","","","","","","","","","","","","","","","",""
"1275","NTRK2","PAWR","","NUMA1","","PGM2","","","","","","","","","","","","","","","","","","","","","",""
"1276","NUCKS1","PBK","","NUP133","","PGM2L1","","","","","","","","","","","","","","","","","","","","","",""
"1277","NUDT16L1","PBX1","","NUP85","","PGRMC1","","","","","","","","","","","","","","","","","","","","","",""
"1278","NUDT21","PCBP1","","NUP98","","PHC1","","","","","","","","","","","","","","","","","","","","","",""
"1279","NUDT4","PCBP2","","NUSAP1","","PHC2","","","","","","","","","","","","","","","","","","","","","",""
"1280","NUF2","PCDH1","","NXPH4","","PHKA1","","","","","","","","","","","","","","","","","","","","","",""
"1281","NUMA1","PCDH17","","NYNRIN","","PHLDB3","","","","","","","","","","","","","","","","","","","","","",""
"1282","NUP133","PCDH18","","OAF","","PHRF1","","","","","","","","","","","","","","","","","","","","","",""
"1283","NUP85","PCDH7","","OAT","","PHTF1","","","","","","","","","","","","","","","","","","","","","",""
"1284","NUP98","PCGF5","","OAZ2","","PHTF2","","","","","","","","","","","","","","","","","","","","","",""
"1285","NUPR1","PCLO","","OBSCN","","PI15","","","","","","","","","","","","","","","","","","","","","",""
"1286","NUSAP1","PCTP","","OCLN","","PIAS1","","","","","","","","","","","","","","","","","","","","","",""
"1287","NXPH4","PCYOX1","","OCRL","","PIEZO1","","","","","","","","","","","","","","","","","","","","","",""
"1288","NYNRIN","PDE2A","","ODZ3","","PIF1","","","","","","","","","","","","","","","","","","","","","",""
"1289","OAF","PDHB","","OGFRL1","","PIGH","","","","","","","","","","","","","","","","","","","","","",""
"1290","OAT","PDIA4","","OGT","","PIGQ","","","","","","","","","","","","","","","","","","","","","",""
"1291","OAZ2","PDK2","","OIP5","","PIK3R1","","","","","","","","","","","","","","","","","","","","","",""
"1292","OBSCN","PDLIM7","","OLFML2A","","PIK3R4","","","","","","","","","","","","","","","","","","","","","",""
"1293","OCLN","PDS5B","","OPTN","","PITPNM3","","","","","","","","","","","","","","","","","","","","","",""
"1294","OCRL","PDXDC1","","ORAI2","","PJA2","","","","","","","","","","","","","","","","","","","","","",""
"1295","ODZ3","PEA15","","ORAOV1","","PKD1","","","","","","","","","","","","","","","","","","","","","",""
"1296","OGFRL1","PEBP1","","ORC1","","PLA2G12A","","","","","","","","","","","","","","","","","","","","","",""
"1297","OGT","PEX26","","OSBPL6","","PLA2G4C","","","","","","","","","","","","","","","","","","","","","",""
"1298","OIP5","PFDN2","","OSGIN1","","PLAA","","","","","","","","","","","","","","","","","","","","","",""
"1299","OLFML2A","PGAM1","","OSMR","","PLCG2","","","","","","","","","","","","","","","","","","","","","",""
"1300","OPTN","PGK1","","P2RX4","","PLEC","","","","","","","","","","","","","","","","","","","","","",""
"1301","ORAI2","PGLS","","P4HA2","","PLEKHA6","","","","","","","","","","","","","","","","","","","","","",""
"1302","ORAOV1","PGM1","","PABPC1","","PLEKHA7","","","","","","","","","","","","","","","","","","","","","",""
"1303","ORC1","PGM2","","PABPC1L","","PLEKHN1","","","","","","","","","","","","","","","","","","","","","",""
"1304","OSBPL6","PGM2L1","","PABPC4L","","PLIN3","","","","","","","","","","","","","","","","","","","","","",""
"1305","OSGIN1","PGPEP1","","PACS2","","PLIN4","","","","","","","","","","","","","","","","","","","","","",""
"1306","OSMR","PGRMC1","","PACSIN2","","PLK1","","","","","","","","","","","","","","","","","","","","","",""
"1307","P2RX4","PHC1","","PAF1","","PLK1S1","","","","","","","","","","","","","","","","","","","","","",""
"1308","P4HA2","PHC2","","PAK4","","PLK3","","","","","","","","","","","","","","","","","","","","","",""
"1309","PABPC1","PHKA1","","PALLD","","PLLP","","","","","","","","","","","","","","","","","","","","","",""
"1310","PABPC1L","PHLDB3","","PANX2","","PLOD1","","","","","","","","","","","","","","","","","","","","","",""
"1311","PABPC4L","PHRF1","","PAPPA","","PLOD3","","","","","","","","","","","","","","","","","","","","","",""
"1312","PACS2","PHTF1","","PAPSS1","","PLSCR1","","","","","","","","","","","","","","","","","","","","","",""
"1313","PACSIN2","PHTF2","","PAQR5","","PLTP","","","","","","","","","","","","","","","","","","","","","",""
"1314","PAF1","PIAS1","","PARD3","","PLXNA2","","","","","","","","","","","","","","","","","","","","","",""
"1315","PAK4","PIEZO1","","PARM1","","PLXNA3","","","","","","","","","","","","","","","","","","","","","",""
"1316","PALLD","PIF1","","PARP1","","PMM1","","","","","","","","","","","","","","","","","","","","","",""
"1317","PANX2","PIGH","","PARP12","","PNP","","","","","","","","","","","","","","","","","","","","","",""
"1318","PAPPA","PIGQ","","PARP6","","POC1B","","","","","","","","","","","","","","","","","","","","","",""
"1319","PAPSS1","PIK3R1","","PARPBP","","POLL","","","","","","","","","","","","","","","","","","","","","",""
"1320","PAQR5","PIK3R4","","PASK","","POLR2B","","","","","","","","","","","","","","","","","","","","","",""
"1321","PARD3","PITPNM3","","PAWR","","POLR2I","","","","","","","","","","","","","","","","","","","","","",""
"1322","PARM1","PJA2","","PBK","","POLR2K","","","","","","","","","","","","","","","","","","","","","",""
"1323","PARP1","PKD1","","PBX1","","POLR2L","","","","","","","","","","","","","","","","","","","","","",""
"1324","PARP12","PKN1","","PCBP1","","POLR3C","","","","","","","","","","","","","","","","","","","","","",""
"1325","PARP6","PLA2G12A","","PCBP2","","POLR3D","","","","","","","","","","","","","","","","","","","","","",""
"1326","PARPBP","PLA2G4C","","PCDH1","","POLR3E","","","","","","","","","","","","","","","","","","","","","",""
"1327","PASK","PLAA","","PCDH17","","POP1","","","","","","","","","","","","","","","","","","","","","",""
"1328","PAWR","PLCG2","","PCDH18","","PORCN","","","","","","","","","","","","","","","","","","","","","",""
"1329","PBK","PLEC","","PCDH7","","PPARG","","","","","","","","","","","","","","","","","","","","","",""
"1330","PBX1","PLEKHA6","","PCGF5","","PPDPF","","","","","","","","","","","","","","","","","","","","","",""
"1331","PCBP1","PLEKHA7","","PCK2","","PPIE","","","","","","","","","","","","","","","","","","","","","",""
"1332","PCBP2","PLEKHN1","","PCLO","","PPIG","","","","","","","","","","","","","","","","","","","","","",""
"1333","PCDH1","PLIN3","","PCNXL2","","PPIH","","","","","","","","","","","","","","","","","","","","","",""
"1334","PCDH17","PLK1","","PCTP","","PPM1A","","","","","","","","","","","","","","","","","","","","","",""
"1335","PCDH18","PLK1S1","","PCYOX1","","PPM1E","","","","","","","","","","","","","","","","","","","","","",""
"1336","PCDH7","PLK3","","PDE2A","","PPM1M","","","","","","","","","","","","","","","","","","","","","",""
"1337","PCGF5","PLLP","","PDHB","","PPP1CC","","","","","","","","","","","","","","","","","","","","","",""
"1338","PCK2","PLOD1","","PDIA4","","PPP2R1A","","","","","","","","","","","","","","","","","","","","","",""
"1339","PCLO","PLOD3","","PDK2","","PPP2R1B","","","","","","","","","","","","","","","","","","","","","",""
"1340","PCNXL2","PLSCR1","","PDLIM7","","PPP2R3A","","","","","","","","","","","","","","","","","","","","","",""
"1341","PCTP","PLTP","","PDS5B","","PPP2R5B","","","","","","","","","","","","","","","","","","","","","",""
"1342","PCYOX1","PLXNA2","","PDXDC1","","PPP2R5D","","","","","","","","","","","","","","","","","","","","","",""
"1343","PDE2A","PLXNA3","","PEA15","","PRC1","","","","","","","","","","","","","","","","","","","","","",""
"1344","PDHB","PMAIP1","","PEBP1","","PRDM2","","","","","","","","","","","","","","","","","","","","","",""
"1345","PDIA4","PMM1","","PEX26","","PRDM4","","","","","","","","","","","","","","","","","","","","","",""
"1346","PDK2","PNP","","PFDN2","","PRDX3","","","","","","","","","","","","","","","","","","","","","",""
"1347","PDLIM7","POC1B","","PGAM1","","PREP","","","","","","","","","","","","","","","","","","","","","",""
"1348","PDS5B","POLL","","PGK1","","PREX2","","","","","","","","","","","","","","","","","","","","","",""
"1349","PDXDC1","POLR2B","","PGLS","","PRIMA1","","","","","","","","","","","","","","","","","","","","","",""
"1350","PEA15","POLR2I","","PGM1","","PRKAB1","","","","","","","","","","","","","","","","","","","","","",""
"1351","PEBP1","POLR2K","","PGM2","","PRKAB2","","","","","","","","","","","","","","","","","","","","","",""
"1352","PEX26","POLR2L","","PGM2L1","","PRKACA","","","","","","","","","","","","","","","","","","","","","",""
"1353","PFDN2","POLR3C","","PGPEP1","","PRKAR2B","","","","","","","","","","","","","","","","","","","","","",""
"1354","PGAM1","POLR3D","","PGRMC1","","PRMT7","","","","","","","","","","","","","","","","","","","","","",""
"1355","PGK1","POLR3E","","PHC1","","PRNP","","","","","","","","","","","","","","","","","","","","","",""
"1356","PGLS","POP1","","PHC2","","PROM1","","","","","","","","","","","","","","","","","","","","","",""
"1357","PGM1","PORCN","","PHGDH","","PROSER1","","","","","","","","","","","","","","","","","","","","","",""
