"h24_30vD and h24_45vD","h8_45vD and h24_45vD","h8_30vD and h24_45vD","h24_45vD and h24_30vD","h8_45vD and h24_30vD","h8_30vD and h24_30vD","h24_45vD and h8_45vD","h24_30vD and h8_45vD","h8_30vD and h8_45vD","h24_45vD and h8_30vD","h24_30vD and h8_30vD","h8_45vD and h8_30vD","h24_45vD","h24_30vD and not h24_45vD","h8_45vD and not h24_45vD","h8_30vD and not h24_45vD","h24_45vD and not h24_30vD","h24_30vD","h8_45vD and not h24_30vD","h8_30vD and not h24_30vD","h24_45vD and not h8_45vD","h24_30vD and not h8_45vD","h8_45vD","h8_30vD and not h8_45vD","h24_45vD and not h8_30vD","h24_30vD and not h8_30vD","h8_45vD and not h8_30vD","h8_30vD"
"45","AGL","AGPAT9","LONP1","AGPAT9","","AGXT2L2","GADD45A","LONP1","","LONP1","OSGIN1","","","SFPQ","G3BP2","MORN4","SFPQ","","GADD45A","GOT1","","","","","","","",""
"46","AGPAT9","AGTPBP1","MAGED1","AGTPBP1","","AHCYL1","GARS","MAGED1","","MAGED1","PAQR5","","","SHMT2","GABRG1","MSC","SHMT2","","GARS","GPT2","","","","","","","",""
"47","AGTPBP1","AGTRAP","MGST1","AGTRAP","","AHDC1","GDF15","MGST1","","MGST1","PCK2","","","SLC1A4","GADD45A","MTHFD1L","SLC1A4","","GDF15","GRB10","","","","","","","",""
"48","AGTRAP","AGXT2L2","MTHFD2","AGXT2L2","","AHSA1","GOT1","MTHFD2","","MTHFD2","PCNXL2","","","SLC1A5","GARS","MYC","SLC1A5","","GOT1","GRPEL2","","","","","","","",""
"49","AGXT2L2","AHCYL1","NARS","AHCYL1","","AIFM1","GPT2","NARS","","NARS","PHGDH","","","SLC3A2","GDF15","NFKBIL1","SLC3A2","","GPT2","GTF3C1","","","","","","","",""
"50","AHCYL1","AHDC1","NQO1","AHDC1","","AIFM2","GRB10","NQO1","","NQO1","PI15","","","SLC4A5","GOT1","NR1D1","SLC4A5","","GRB10","GTPBP2","","","","","","","",""
"51","AHDC1","AHSA1","NUPR1","AHSA1","","AKAP2","GRPEL2","NUPR1","","NUPR1","PLIN4","","","SLC7A1","GPT2","PGPEP1","SLC7A1","","GRPEL2","HERPUD1","","","","","","","",""
"52","AHSA1","AIFM1","OSGIN1","AIFM1","","AKAP6","GTF3C1","OSGIN1","","OSGIN1","PYCR1","","","SLC7A11","GRB10","PKN1","SLC7A11","","GTF3C1","HEXIM1","","","","","","","",""
"53","AIFM1","AIFM2","PAQR5","AIFM2","","AKT1","GTPBP2","PAQR5","","PAQR5","RNF41","","","SLC7A5","GRPEL2","PMAIP1","SLC7A5","","GTPBP2","HKDC1","","","","","","","",""
"54","AIFM2","AKAP2","PCK2","AKAP2","","AKTIP","HERPUD1","PCK2","","PCK2","RPL36A-HNRNPH2","","","STC2","GTF3C1","PPHLN1","STC2","","HERPUD1","HSPA8","","","","","","","",""
"55","AKAP2","AKAP6","PCNXL2","AKAP6","","ALAD","HEXIM1","PCNXL2","","PCNXL2","SARS","","","TOX2","GTPBP2","PPP1R15A","TOX2","","HEXIM1","IFRD1","","","","","","","",""
"56","AKAP6","AKT1","PHGDH","AKNA","","ALDH18A1","HKDC1","PHGDH","","PHGDH","SCLY","","","TRIB3","HERPUD1","PRPF40B","TRIB3","","HKDC1","INHBE","","","","","","","",""
"57","AKNA","AKTIP","PI15","AKT1","","ALDH1A1","HSPA8","PI15","","PI15","SCN4A","","","TUBE1","HEXIM1","PSPH","TUBE1","","HSPA8","JDP2","","","","","","","",""
"58","AKT1","ALAD","PLIN4","AKTIP","","ALDH2","IFRD1","PLIN4","","PLIN4","SEL1L3","","","UHRF1BP1","HKDC1","PYCR2","UHRF1BP1","","IFRD1","KBTBD4","","","","","","","",""
"59","AKTIP","ALDH18A1","PYCR1","ALAD","","ALDOC","INHBE","PYCR1","","PYCR1","SESN2","","","UPP1","HSPA8","QRICH1","UPP1","","INHBE","KDM4A","","","","","","","",""
"60","ALAD","ALDH1A1","RNF41","ALAS1","","ALG12","KBTBD4","RNF41","","RNF41","SFPQ","","","VEGFA","IFRD1","R3HDM2","VEGFA","","KBTBD4","KIF21B","","","","","","","",""
"61","ALAS1","ALDH1L2","SARS","ALDH18A1","","ALKBH3","KCNG1","RPL36A-HNRNPH2","","SARS","SFXN3","","","YARS","INHBE","RAD23A","YARS","","KCNG1","KLF15","","","","","","","",""
"62","ALDH18A1","ALDH2","SCLY","ALDH1A1","","ALYREF","KDM4A","SARS","","SCLY","SHMT2","","","ZFAND1","JDP2","RBBP8","ZFAND1","","KDM4A","KLF4","","","","","","","",""
"63","ALDH1A1","ALDOC","SCN4A","ALDH1L2","","AMMECR1","KIF21B","SCLY","","SCN4A","SLC12A8","","","ZFP36L1","KBTBD4","RHBDD1","ZFP36L1","","KIF21B","KLF9","","","","","","","",""
"64","ALDH1L2","ALG12","SEL1L3","ALDH2","","AMMECR1L","KLF4","SCN4A","","SEL1L3","SLC1A4","","","ZNF207","KCNG1","SAR1A","ZNF207","","KLF4","KSR1","","","","","","","",""
"65","ALDH2","ALKBH3","SESN2","ALDOC","","AMOT","KSR1","SEL1L3","","SESN2","SLC1A5","","","","KDM4A","SGPL1","","","KSR1","LDHA","","","","","","","",""
"66","ALDOC","ALYREF","SFPQ","ALG12","","AMOTL2","LDHA","SESN2","","SFPQ","SLC3A2","","","","KIF21B","SKP2","","","LDHA","LGR4","","","","","","","",""
"67","ALG12","AMMECR1","SFXN3","ALKBH3","","ANAPC13","LGR4","SFPQ","","SFXN3","SLC4A5","","","","KLF15","SLC16A5","","","LGR4","LMO4","","","","","","","",""
