"h48.45vsD","h48.30vsD","h24.45vsD","h24.30vsD","h8.45vsD","h8.30vsD"
"AARSD1P1",NA,NA,NA,NA,NA,NA
"AASDH",0.957602772360974,0.957602772360974,0.957602772360974,0.957602772360974,0.957602772360974,0.957602772360974
"AASDHPPT",0.43079341828012,0.43079341828012,0.43079341828012,0.43079341828012,0.43079341828012,0.43079341828012
"AASS",1,1,1,1,1,1
"AATBC",0.846509760379453,0.846509760379453,0.846509760379453,0.846509760379453,0.846509760379453,0.846509760379453
"AATF",0.482026687903469,0.482026687903469,0.482026687903469,0.482026687903469,0.482026687903469,0.482026687903469
"AATK",0.551632102245607,0.551632102245607,0.551632102245607,0.551632102245607,0.551632102245607,0.551632102245607
"ABALON",NA,NA,NA,NA,NA,NA
"ABAT",0.962030918581055,0.962030918581055,0.962030918581055,0.962030918581055,0.962030918581055,0.962030918581055
"ABCA1",0.452230264643806,0.452230264643806,0.452230264643806,0.452230264643806,0.452230264643806,0.452230264643806
"ABCA10",NA,NA,NA,NA,NA,NA
"ABCA11P",0.720407437096132,0.720407437096132,0.720407437096132,0.720407437096132,0.720407437096132,0.720407437096132
"ABCA12",2.70321179705091e-14,2.70321179705091e-14,2.70321179705091e-14,2.70321179705091e-14,2.70321179705091e-14,2.70321179705091e-14
"ABCA13",NA,NA,NA,NA,NA,NA
"ABCA17P",NA,NA,NA,NA,NA,NA
"ABCA2",0.348308332164251,0.348308332164251,0.348308332164251,0.348308332164251,0.348308332164251,0.348308332164251
"ABCA3",1,1,1,1,1,1
"ABCA4",1,1,1,1,1,1
"ABCA5",0.0861665598823314,0.0861665598823314,0.0861665598823314,0.0861665598823314,0.0861665598823314,0.0861665598823314
"ABCA6",NA,NA,NA,NA,NA,NA
"ABCA7",0.32169668798639,0.32169668798639,0.32169668798639,0.32169668798639,0.32169668798639,0.32169668798639
"ABCA8",NA,NA,NA,NA,NA,NA
"ABCA9",NA,NA,NA,NA,NA,NA
"ABCB1",0.545616091470315,0.545616091470315,0.545616091470315,0.545616091470315,0.545616091470315,0.545616091470315
"ABCB10",0.0715014959171901,0.0715014959171901,0.0715014959171901,0.0715014959171901,0.0715014959171901,0.0715014959171901
"ABCB11",NA,NA,NA,NA,NA,NA
"ABCB4",0.723859984290892,0.723859984290892,0.723859984290892,0.723859984290892,0.723859984290892,0.723859984290892
"ABCB5",0.570311970192449,0.570311970192449,0.570311970192449,0.570311970192449,0.570311970192449,0.570311970192449
"ABCB6",6.21098504910751e-05,6.21098504910751e-05,6.21098504910751e-05,6.21098504910751e-05,6.21098504910751e-05,6.21098504910751e-05
"ABCB7",2.02350896081817e-12,2.02350896081817e-12,2.02350896081817e-12,2.02350896081817e-12,2.02350896081817e-12,2.02350896081817e-12
"ABCB8",0.201349548191188,0.201349548191188,0.201349548191188,0.201349548191188,0.201349548191188,0.201349548191188
"ABCB9",1,1,1,1,1,1
"ABCC1",0.149202058553492,0.149202058553492,0.149202058553492,0.149202058553492,0.149202058553492,0.149202058553492
"ABCC10",0.0198503803132758,0.0198503803132758,0.0198503803132758,0.0198503803132758,0.0198503803132758,0.0198503803132758
"ABCC11",NA,NA,NA,NA,NA,NA
"ABCC12",NA,NA,NA,NA,NA,NA
"ABCC13",NA,NA,NA,NA,NA,NA
"ABCC2",0.825846170117004,0.825846170117004,0.825846170117004,0.825846170117004,0.825846170117004,0.825846170117004
"ABCC3",8.27677828736158e-10,8.27677828736158e-10,8.27677828736158e-10,8.27677828736158e-10,8.27677828736158e-10,8.27677828736158e-10
