"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AARD",122.469119922972,-0.0501452075199394,0.374881955592616,1.86306126509811,0.984925987465997,1
"AARS1",4693.58733344903,0.838674728532584,0.150714056432456,129.77270810096,3.15320877463657e-24,2.48570114597594e-22
"AARS2",445.7779726767,0.0355005363207388,0.140825959271476,9.40805330743007,0.309050308178101,0.589775037104903
"AARSD1",273.424113838099,0.146759365722801,0.144019276513768,8.59847476248393,0.377291061806372,0.66865467609733
"AARSD1P1",1.82542171331855,0.70631745846453,1.87157661925056,9.84533131034119,0.27604994816262,NA
"AASDH",233.689844969915,-0.0467160119200589,0.153337594140028,5.40927163129362,0.713069866311613,0.957602772360974
"AASDHPPT",695.40764055928,-0.18921088392402,0.078010737876333,11.0846342653062,0.196949670054982,0.43079341828012
"AASS",171.691340505686,0.534150561906849,0.300932927820648,4.37488685448398,0.821815860862283,1
"AATBC",23.1270849257808,0.161094679572571,0.370688849852149,6.79772617615973,0.558605620355163,0.846509760379453
"AATF",1092.42720217166,-0.35243542553629,0.130907446536519,10.5151012936847,0.230715708492263,0.482026687903469
"AATK",154.351952484955,0.569262567554036,0.241937520631048,9.79612097986416,0.279628213647,0.551632102245607
"ABALON",3.40553762941724,-0.028423738130318,1.32371914271303,4.69322370436075,0.789804887740241,NA
"ABAT",122.223759100786,-0.494951654258185,0.381778401877343,5.34171661948233,0.720506210842624,0.962030918581055
"ABCA1",337.120144636155,-0.476897207812294,0.329125520497076,10.8606889122117,0.209718395998907,0.452230264643806
"ABCA10",1.57444645865124,0.409098371889164,1.31485864177777,13.3692031799637,0.0997621286840387,NA
"ABCA11P",10.876317925631,-0.465917356948599,0.642748367000907,8.10046663663667,0.423718324861803,0.720407437096132
"ABCA12",61.4715087661213,1.96777613504734,0.360040041155852,89.0095681883042,7.38712974517541e-16,2.70321179705091e-14
"ABCA13",2.54321058820065,3.31982172529806,1.53472840225786,6.41862909910505,0.600446769021719,NA
"ABCA17P",0.0340609817702767,-0.999900835191706,7.26083161669132,0.0905900378226558,0.999999830852591,NA
"ABCA2",1733.03953148519,0.0381230290495541,0.171951011396876,12.0934446700716,0.147083057779174,0.348308332164251
"ABCA3",210.662900327597,0.523294577253989,0.476731907703217,3.10970269109805,0.927285511448823,1
"ABCA4",68.2353183175489,-0.302366856101496,0.346640937777484,3.40010658599158,0.906802594022835,1
"ABCA5",137.881162542866,0.804417164910006,0.226239636326311,17.4908427117782,0.0253850111410996,0.0861665598823314
"ABCA6",0.245721807762317,0.923457925735658,7.26083161649948,0.625216280782283,0.999689719295556,NA
"ABCA7",340.991272199215,0.365265289865997,0.158905646823035,12.4485019009011,0.132286536406926,0.32169668798639
"ABCA8",0.283919760968079,-0.0383419762774416,7.26083161635306,0.767384660641085,0.999334291303453,NA
"ABCA9",0.185526593795114,-2.44936080360295,7.21415270571336,0.629550834129219,0.999681571473231,NA
"ABCB1",5.07987266339117,1.38845355437798,0.663374968770897,9.85373521656942,0.275442291932537,0.545616091470315
"ABCB10",338.290924883516,-0.0293398047788244,0.155337452476402,18.1322045927766,0.0202568769436583,0.0715014959171901
"ABCB11",1.17148261505547,-0.0884643076389126,1.73768967517624,5.83846140142759,0.665320942699788,NA
"ABCB4",6.39595800000719,0.876342522807051,0.556595338249541,8.06314981785368,0.427325904319411,0.723859984290892
"ABCB5",12.5288020336524,-1.10399118310749,0.564339695227205,9.5983874010156,0.294352243119839,0.570311970192449
"ABCB6",1110.86451118318,0.301111229684918,0.0948282984734538,38.1071071271385,7.19290474289194e-06,6.21098504910751e-05
"ABCB7",691.591580904416,-0.511584585331672,0.0787277323239882,79.2336232750566,6.97277306788715e-14,2.02350896081817e-12
"ABCB8",623.377707631804,-0.444608103235768,0.138589704920619,14.3729892129568,0.0725468331097185,0.201349548191188
