"gene" "h24_45vD_log2FoldChange" "h24_45vD_padj" "h24_45v30_log2FoldChange" "h24_45v30_padj" "h24_30vD_log2FoldChange" "h24_30vD_padj" "h8_45vD_log2FoldChange" "h8_45vD_padj" "h8_45v30_log2FoldChange" "h8_45v30_padj" "h8_30vD_log2FoldChange" "h8_30vD_padj"
"SLC3A2" 1.42328338965652 1.24263807088152e-28 0.599165479142666 0.000323461567799806 0.82411791051385 5.5149039905196e-08 0.698628724367764 1.01735516029332e-05 0.431770882811376 0.579080917860162 0.266857841556388 5.99931127345856
"KCNG1" 2.18915973313362 4.05002786541161e-28 0.617397736155491 0.0773771368528526 1.57176199697813 1.03854281675581e-12 1.46626201127674 2.88718099055485e-11 0.490396936267621 3.03706543158718 0.975865075009119 0.00280627684946223
"TSPYL1" -0.623532896524546 3.55986091917295e-27 -0.414739591162455 3.88960200534854e-10 -0.208793305362091 0.0423870246491149 -0.316887913663661 8.42184280653243e-06 -0.172092824857753 1.39827518540365 -0.144795088805909 4.82142798489952
"DLGAP5" -1.51685420102959 5.35148841581665e-27 -1.01588833442195 1.72978790361066e-10 -0.500965866607637 0.0532838801990728 -0.430883739780295 0.181982534137148 -0.205818987368741 5.99937842076246 -0.225064752411554 5.99931127345856
"GTSE1" -1.31743821483145 6.3918600198025e-27 -0.834839850826693 4.1037782162963e-09 -0.482598364004756 0.0124250689142193 -0.386508211802441 0.131826085818025 -0.236900062534437 5.23034661840368 -0.149608149268005 5.99931127345856
"KLF4" 1.75027269051176 6.99094030616414e-26 0.903836716156577 5.41021841231136e-06 0.846435974355179 0.000101327642314669 0.699710819108318 0.00426541334065993 0.517382565873393 0.951875647281116 0.182328253234926 5.99931127345856
"NUPR1" 2.92764799215798 3.05874408608174e-25 0.821114685371586 0.104326226681521 2.10653330678639 3.00430766771717e-11 2.32854506736904 9.08228084588961e-13 0.836832908989853 NA 1.49171215837918 0.00280627684946223
"CEBPG" 1.5305466927 6.48937048090346e-25 0.689378112251823 0.000313759260991432 0.841168580448182 3.58303037166499e-06 1.06987671570244 5.80648396023193e-11 0.546268261356953 0.229790348572553 0.52360845434549 0.590070172575388
"FUBP1" -0.653346956740005 1.05623372411196e-24 -0.441094808001886 1.30929523314888e-09 -0.21225214873812 0.104565905653692 -0.293006360332094 0.00064300092066353 -0.190364893694831 1.25691679236735 -0.102641466637263 5.99931127345856
"COPB2" -0.586902629212126 1.12472549927587e-24 -0.324838484969957 2.12877180209406e-06 -0.262064144242169 0.000897583491549906 -0.170355810973634 0.229803388618404 -0.0257371649351017 5.99937842076246 -0.144618646038532 4.69581410241393
"CEBPB" 1.19172094279111 2.09526798651472e-24 0.709360922888734 1.61492210109958e-07 0.482360019902381 0.0078331467691315 0.968652754704319 8.96932910278955e-15 0.413089208518908 0.367729779847637 0.555563546185411 0.00413372792567068
"SEL1L3" 1.04067533353312 9.10250949546578e-24 0.416861878418829 0.00345596893081476 0.623813455114296 5.51471180282746e-07 0.363239231614846 0.0566758403714778 0.154036321692841 5.99937842076246 0.209202909922005 5.99931127345856
"SPAG5" -1.11008425364516 9.10250949546578e-24 -0.63733485334006 1.16824209242111e-06 -0.472749400305097 0.00317692145547174 -0.408756039798529 0.0245406459504818 -0.23948736782694 4.33231043080632 -0.169268671971589 5.99931127345856
"C6orf48" 1.35839899057322 1.23416789034087e-23 0.817320196242405 1.27119071345995e-07 0.541078794330813 0.019063303225554 0.308085872735514 1.12530717514868 0.353594289226892 NA -0.0455084164913781 5.99931127345856
