"gene" "h24_45vD_log2FoldChange" "h24_45vD_padj" "h24_45v30_log2FoldChange" "h24_45v30_padj" "h24_30vD_log2FoldChange" "h24_30vD_padj" "h8_45vD_log2FoldChange" "h8_45vD_padj" "h8_45v30_log2FoldChange" "h8_45v30_padj" "h8_30vD_log2FoldChange" "h8_30vD_padj"
"LGR4" -0.990763106513438 2.66768264764414e-19 -0.697746216674658 3.08507958230243e-08 NA NA -0.514944584097275 0.000373582066532624 NA NA NA NA
"FTH1" 0.946528728634727 6.57530720372141e-19 NA NA 0.583265571065221 6.0385155770345e-06 NA NA NA NA NA NA
"ZNF618" -1.15254518183567 6.76328276132473e-19 -0.820332188493687 3.08507958230243e-08 NA NA NA NA NA NA NA NA
"CDKN2C" -1.73510853017463 7.92891688058087e-19 -0.874646251128254 0.0011137073095883 -0.860462279046379 0.000611732511920765 -0.879352768511998 0.000697902866370926 NA NA NA NA
"GCLC" 1.81424022095577 9.37734437652985e-19 NA NA 1.12917935899975 5.53415130622607e-06 NA NA NA NA NA NA
"ELOVL6" -0.802544372930705 1.68432808373341e-18 -0.578280116195015 3.08652892493717e-08 NA NA NA NA NA NA NA NA
"LMNB1" -1.25582258796339 2.3726362621073e-18 -0.914485281910575 1.83437039590775e-08 NA NA NA NA NA NA NA NA
"CAPRIN1" -0.487691219332293 4.10156985372318e-18 -0.359833217790843 1.56855454022034e-08 NA NA -0.227732724541295 0.00561183190341656 NA NA NA NA
"HMMR" -1.28246696963187 5.39726232573611e-18 -0.824990622237431 2.52798538603103e-06 NA NA NA NA NA NA NA NA
"BEX2" 1.85444463088561 6.39676561442461e-18 1.19878543243326 1.56704221223511e-06 NA NA NA NA NA NA NA NA
"AURKA" -1.27523823867797 8.39774869271605e-18 -0.791452270746712 7.96693535226433e-06 NA NA NA NA NA NA NA NA
"RBBP8" 0.631584740822298 9.90245068926019e-18 0.364972882282246 5.64018504532603e-05 NA NA 0.321215177229199 0.00233709561332816 NA NA NA NA
"PRC1" -1.03315055589547 1.4328230256088e-17 -0.650364143048595 7.22680885878007e-06 NA NA NA NA NA NA NA NA
"CHAC1" 2.706702028989 2.18051316544214e-17 NA NA 1.82717745933339 1.43187916781806e-06 2.99979881034325 1.01441153040093e-19 NA NA 1.6025099835761 0.00147784676961191
"TMEM19" -0.818051483141344 2.41452891965626e-17 -0.539292185367198 2.89060931579831e-06 NA NA NA NA NA NA NA NA
"WARS" 1.47094772210149 2.75299066570041e-17 0.736685631243684 0.00128514837471432 0.734262090857804 0.00359389359009663 NA NA NA NA NA NA
"TOX2" 2.09043841395967 2.88662015175441e-17 0.906626633627928 0.00672853983331457 1.18381178033174 0.000396785084050449 1.25991906840451 0.000156585718490002 NA NA NA NA
"KPNA2" -1.14769855866458 4.47106927708206e-17 -0.801514556740865 2.80191792090887e-07 NA NA NA NA NA NA NA NA
"ZNF641" 0.941267493529056 4.48564478918046e-17 0.633036337316167 9.32374282485584e-07 NA NA NA NA NA NA NA NA
"PTPDC1" 1.32144788736446 4.72511194200961e-17 0.959651463104713 6.29648446583981e-08 NA NA NA NA NA NA NA NA
"DTD1" 0.700542555264445 5.40595669715167e-17 0.319642551750432 0.00574279699927768 0.380900003514012 0.000963656271219095 NA NA NA NA NA NA
"SLC1A5" 0.909838806148565 8.47701114031975e-17 NA NA 0.696815053010116 2.70290527111465e-08 0.880578171372937 1.18641490617088e-14 NA NA NA NA
