"h48.45vsD","h48.30vsD and h48.45vsD","h24.45vsD and h48.45vsD","h24.30vsD and h48.45vsD","h8.45vsD and h48.45vsD","h8.30vsD and h48.45vsD","h48.45vsD and h48.30vsD","h48.30vsD","h24.45vsD and h48.30vsD","h24.30vsD and h48.30vsD","h8.45vsD and h48.30vsD","h8.30vsD and h48.30vsD","h48.45vsD and h24.45vsD","h48.30vsD and h24.45vsD","h24.45vsD","h24.30vsD and h24.45vsD","h8.45vsD and h24.45vsD","h8.30vsD and h24.45vsD","h48.45vsD and h24.30vsD","h48.30vsD and h24.30vsD","h24.45vsD and h24.30vsD","h24.30vsD","h8.45vsD and h24.30vsD","h8.30vsD and h24.30vsD","h48.45vsD and h8.45vsD","h48.30vsD and h8.45vsD","h24.45vsD and h8.45vsD","h24.30vsD and h8.45vsD","h8.45vsD","h8.30vsD and h8.45vsD","h48.45vsD and h8.30vsD","h48.30vsD and h8.30vsD","h24.45vsD and h8.30vsD","h24.30vsD and h8.30vsD","h8.45vsD and h8.30vsD","h8.30vsD","h48.30vsD but not h48.45vsD","h24.45vsD but not h48.45vsD","h24.30vsD but not h48.45vsD","h8.45vsD but not h48.45vsD","h8.30vsD but not h48.45vsD","h48.45vsD but not h48.30vsD","h24.45vsD but not h48.30vsD","h24.30vsD but not h48.30vsD","h8.45vsD but not h48.30vsD","h8.30vsD but not h48.30vsD","h48.45vsD but not h24.45vsD","h48.30vsD but not h24.45vsD","h24.30vsD but not h24.45vsD","h8.45vsD but not h24.45vsD","h8.30vsD but not h24.45vsD","h48.45vsD but not h24.30vsD","h48.30vsD but not h24.30vsD","h24.45vsD but not h24.30vsD","h8.45vsD but not h24.30vsD","h8.30vsD but not h24.30vsD","h48.45vsD but not h8.45vsD","h48.30vsD but not h8.45vsD","h24.45vsD but not h8.45vsD","h24.30vsD but not h8.45vsD","h8.30vsD but not h8.45vsD","h48.45vsD but not h8.30vsD","h48.30vsD but not h8.30vsD","h24.45vsD but not h8.30vsD","h24.30vsD but not h8.30vsD","h8.45vsD but not h8.30vsD"
"ACAD9","ACTL6A","ADAM15","CHAC1","CCNB1IP1","","ACTL6A","ACSF2","ADORA1","COPB2","CDKN1A","","ADAM15","ADORA1","ACAD9","CDKN2C","CARS1","","CHAC1","COPB2","CDKN2C","CDKN2C","EIF4EBP1","","CCNB1IP1","CDKN1A","CARS1","EIF4EBP1","CAPRIN1","","","","","","","","CNOT7","ADIPOR2","","MID1IP1","","ADO","ACTB","RASD1","GTF3C1","","ADAMTS8","ADIPOR1","","","","ACAT2","ACTMAP","ACBD7","DDIT4","","ACAT1","ACTMAP","ACAT2","DTD1","","ACAP2","ACSL3","ACAP2","CGN","CBS"
"ACAP2","ACTMAP","ADAM17","CLIP4","CDKN1A","","ACTMAP","ACSL3","AGTPBP1","COPS4","CDKN2C","","ADAM17","AGTPBP1","ACAP2","CEBPG","CBS","","CLIP4","COPS4","CEBPG","CEBPG","EPRS1","","CDKN1A","CDKN2C","CBS","EPRS1","CARS1","","","","","","","","COG8","ADORA2B","","MYC","","ADORA2A","ACTR8","RGS20","HES6","","ADAMTS9","ADK","","","","ACD","ACTR1A","ACIN1","DDX23","","ACAT2","ACTR1A","ACBD7","ETV5","","ACAT1","ACTL6A","ACAT2","CLIP4","CCDC92"
"ACAT1","ACTR1A","ADAMTS15","COPB2","CDKN2C","","ACTR1A","ACTL6A","AIFM1","CREM","CEBPB","","ADAMTS15","AIFM1","ACAT2","CGN","CCDC92","","COPB2","CREM","CGN","CGN","FGFR2","","CDKN2C","CEBPB","CCDC92","FGFR2","CBS","","","","","","","","CPT1C","AEN","","NAA40","","ADPRM","ACVR2B","SFXN3","HSPA13","","ADAMTSL5","AFAP1L2","","","","ACOT13","ACTR2","ACLY","DDX24","","ACD","ACTR2","ACIN1","FECH","","ACAT2","ACTMAP","ACBD7","COPB2","CCNB1IP1"
"ACAT2","ACTR2","ADCY7","COPS4","CEBPB","","ACTR2","ACTMAP","AKAP6","CSF1","CEBPG","","ADCY7","AKAP6","ACBD7","CHAC1","CCNB1IP1","","COPS4","CSF1","CHAC1","CHAC1","G3BP2","","CEBPB","CEBPG","CCNB1IP1","G3BP2","CCDC92","","","","","","","","DDX52","AGK","","NDRG4","","ADRA2A","ADAM15","SPATS2","HSPA9","","ADCY3","AFG3L2","","","","ACOT2","ACTR3","ACOT2","DHX15","","ACOT13","ACTR3","ACLY","FTH1","","ACD","ACTR1A","ACIN1","COPS4","CDKN1A"
"ACD","ACTR3","ADCY9","CREM","CEBPG","","ACTR3","ACTR1A","AKNA","CTH","CHAC1","","ADCY9","AKNA","ACIN1","CLIP4","CDKN1A","","CREM","CTH","CLIP4","CLIP4","GADD45A","","CEBPG","CHAC1","CDKN1A","GADD45A","CCNB1IP1","","","","","","","","DGKI","AGO4","","NKRF","","AEBP1","ADAM17","SQSTM1","KLF9","","ADGRA3","AGPAT1","","","","ACP1","ADAMTS10","ACP6","DIDO1","","ACOT2","ADAMTS10","ACOT2","FTL","","ACOT13","ACTR2","ACLY","CREM","CDKN2C"
"ACOT13","ADAMTS15","ADGRG1","CSF1","CHAC1","","ADAMTS15","ACTR2","ALAS1","CTR9","CPT1A","","ADGRG1","ALAS1","ACLY","COPB2","CDKN2C","","CSF1","CTR9","COPB2","COPB2","GARS1","","CHAC1","CPT1A","CDKN2C","GARS1","CDKN1A","","","","","","","","DHRS2","AGTRAP","","PGRMC1","","AFTPH","ADAP1","TRIM16L","LEMD3","","ADGRE5","AGR2","","","","ACSF2","ADAMTS15","ACSF3","DNTTIP2","","ACP1","ADAMTS15","ACP6","GAS1","","ACOT2","ACTR3","ACOT2","CSF1","CEBPB"
"ACOT2","ADAMTS9","ADGRL2","CTH","CPT1A","","ADAMTS9","ACTR3","ALDH1L2","DDIT3","CSTF2T","","ADGRL2","ALDH1L2","ACOT2","COPS4","CEBPB","","CTH","DDIT3","COPS4","COPS4","GBF1","","CPT1A","CSTF2T","CEBPB","GBF1","CDKN2C","","","","","","","","DHX58","AHCYL1","","PLRG1","","AGA","ADD1","TXNIP","LMO4","","ADGRL1","ALCAM","","","","ACSL3","ADAMTS9","ACSL1","DOLK","","ACSF2","ADAMTS9","ACSF3","H3C14","","ACP1","ADAMTS10","ACP6","CTH","CEBPG"
"ACP1","ADCY3","ADM2","CTR9","CSTF2T","","ADCY3","ADAMTS10","ALDH2","DHX29","CTH","","ADM2","ALDH2","ACP6","CREM","CEBPG","","CTR9","DHX29","CREM","CREM","GCLC","","CSTF2T","CTH","CEBPG","GCLC","CEBPB","","","","","","","","DNM1","AHDC1","","PXMP4","","AGAP1","ADGRL2","UNC5B","LURAP1L","","ADH5","ALDH3A2","","","","ACTB","ADAMTSL3","ACSL3","EDC4","","ACTB","ADAMTSL3","ACSL1","HOXB9","","ACSF2","ADAMTS15","ACSF3","CTR9","CEP120"
"ACSF2","ADCY7","ADO","DDIT3","CTH","","ADCY7","ADAMTS15","AMIGO1","DLGAP5","DDIT3","","ADO","AMIGO1","ACSF3","CSF1","CEP120","","DDIT3","DLGAP5","CSF1","CSF1","GDF15","","CTH","DDIT3","CEP120","GDF15","CEBPG","","","","","","","","DNMT1","AHSA1","","QRICH1","","AGL","ADIPOR2","UPP1","MFSD5","","ADIPOR1","ALDOA","","","","ACTG1","ADCY3","ACTB","EIF1","","ACTG1","ADCY3","ACTB","IARS1","","ACSL3","ADAMTS9","ACSL1","DGKD","CNPPD1"
"ACSL3","ADCY9","ADORA1","DGKD","DDIT3","","ADCY9","ADAMTS9","AMMECR1","DNAJA1","DDIT4","","ADORA1","AMMECR1","ACSL1","CTH","CHAC1","","DGKD","DNAJA1","CTH","CTH","GJB6","","DDIT3","DDIT4","CHAC1","GJB6","CEP120","","","","","","","","DPH6","AIFM2","","RANBP6","","AGO3","ADO","XBP1","MGAT2","","ADK","AMD1","","","","ACTL6A","ADCY7","ACTR1A","EIF2S2","","ACTL6A","ADCY7","ACTR1A","IK","","ACTB","ADAMTSL3","ACSL3","DHX29","CPT1A"
